pick_up_zone,avg_trip_distance,avg_fare
Allerton/Pelham Gardens,9.524137931034483,33.80689655172414
Alphabet City,27.94365976145637,17.80116133082235
Arrochar/Fort Wadsworth,8.142857142857142,9.228571428571428
Astoria,69.7256999056307,20.418685121107266
Astoria Park,4.722222222222222,43.44444444444444
Auburndale,9.032786885245901,34.0655737704918
Baisley Park,11.572538860103627,55.736614853195164
Bath Beach,10.144578313253012,39.28915662650602
Battery Park,4.517371601208459,25.4607250755287
Battery Park City,4.413990988854636,22.954138012805313
Bay Ridge,8.991071428571429,34.77455357142857
Bay Terrace/Fort Totten,11.12280701754386,39.43859649122807
Bayside,8.840425531914894,32.5531914893617
Bedford,5.4663951120162935,27.580448065173115
Bedford Park,8.043062200956937,34.25358851674641
Bellerose,10.672413793103448,39.560344827586206
Belmont,7.27891156462585,32.095238095238095
Bensonhurst East,7.942196531791907,33.92485549132948
Bensonhurst West,8.164502164502165,34.3982683982684
Bloomfield/Emerson Hill,15.5,57.166666666666664
Bloomingdale,6.557758862594706,16.520437751379664
Boerum Hill,4.776995305164319,24.497652582159624
Borough Park,6.289377289377289,29.564102564102566
Breezy Point/Fort Tilden/Riis Beach,11.384615384615385,42.84615384615385
Briarwood/Jamaica Hills,8.31077694235589,39.43107769423559
Brighton Beach,9.898039215686275,40.1921568627451
Broad Channel,8.142857142857142,35.142857142857146
Bronx Park,7.769230769230769,34.30769230769231
Bronxdale,8.689655172413794,34.44827586206897
Brooklyn Heights,30.32891685988738,25.6730705531633
Brooklyn Navy Yard,4.751552795031056,25.366459627329192
Brownsville,6.484340044742729,29.72035794183445
Bushwick North,5.627906976744186,27.99031007751938
Bushwick South,5.728717366628831,27.952326901248583
Cambria Heights,12.973856209150327,46.052287581699346
Canarsie,7.057211925866237,31.887187751813055
Carroll Gardens,82.4266862170088,25.14956011730205
Central Harlem,9.590665943096363,17.17226141561361
Central Harlem North,29.761716900741675,20.283730471832097
Central Park,3.0664150032750714,15.3037197917744
Chinatown,3.67429236138038,21.40306320279178
City Island,13.076923076923077,48.76923076923077
Claremont/Bathgate,7.521551724137931,31.969827586206897
Clinton East,3.504186651491749,15.885897778345546
Clinton Hill,5.310717797443461,27.007866273353
Clinton West,8.954858066005077,16.44200323101777
Co-Op City,11.317718940936864,40.867617107942976
Cobble Hill,27.583505154639177,24.168041237113403
College Point,8.0,32.85
Columbia Street,300.63703703703703,28.48148148148148
Coney Island,10.078610603290677,44.20840950639854
Corona,7.063694267515924,36.49363057324841
Country Club,10.333333333333334,37.55555555555556
Crotona Park,8.583333333333334,30.75
Crotona Park East,7.676829268292683,32.59146341463415
Crown Heights North,27.269582909460834,28.14903357070193
Crown Heights South,5.821646341463414,28.3125
Cypress Hills,6.7615062761506275,30.447698744769873
DUMBO/Vinegar Hill,4.722267871815941,25.128184059161875
Douglaston,8.66,31.2
Downtown Brooklyn/MetroTech,4.453878150232445,23.61781257646195
Dyker Heights,6.45945945945946,31.10810810810811
East Chelsea,2.928775562400614,17.679995996752922
East Concourse/Concourse Village,6.474187380497132,28.961759082217974
East Elmhurst,9.300549609487996,41.24030951692219
East Flatbush/Farragut,113.9837925445705,27.06645056726094
East Flatbush/Remsen Village,6.024296675191816,28.989769820971865
East Flushing,7.585365853658536,31.146341463414632
East Harlem North,9.310426320667284,16.187951807228917
East Harlem South,8.957252978276104,15.808122267827944
East New York,6.928621908127209,31.062897526501768
East New York/Pennsylvania Avenue,7.085173501577287,31.634069400630914
East Tremont,7.322916666666667,30.4375
East Village,5.045584570242962,15.59187506905823
East Williamsburg,5.2844378257632165,29.131049888309754
Eastchester,9.568862275449101,36.634730538922156
Elmhurst,12.471406959152798,19.937065052950075
Elmhurst/Maspeth,3.904831625183016,23.314787701317716
Eltingville/Annadale/Prince's Bay,17.0,54.0
Erasmus,6.350961538461538,29.32451923076923
Far Rockaway,16.129449838187703,50.200647249190936
Financial District North,4.436836878691266,23.245073955992265
Financial District South,4.774329501915709,24.62432950191571
Flatbush/Ditmas Park,17.0,29.419718309859157
Flatiron,2.227165106729311,15.369649661499759
Flatlands,6.569553805774278,30.017060367454068
Flushing,5.322845417236662,27.192886456908344
Flushing Meadows-Corona Park,8.159090909090908,52.94019138755981
Fordham South,7.048387096774194,31.29032258064516
Forest Hills,14.785607196401799,18.93193403298351
Forest Park/Highland Park,6.052631578947368,27.31578947368421
Fort Greene,19.177848775292865,21.530617678381258
Fresh Meadows,8.898550724637682,34.6231884057971
Garment District,3.2784022721817747,16.758880710456836
Glen Oaks,12.296875,44.015625
Glendale,6.22463768115942,29.355072463768117
Gowanus,194.76408450704224,26.08450704225352
Gramercy,4.629461388708631,14.926331779835998
Gravesend,9.801075268817204,37.90860215053763
Great Kills,13.0,51.0
Green-Wood Cemetery,2.6666666666666665,22.0
Greenpoint,4.7876658860265415,24.715846994535518
Greenwich Village North,2.218853913788531,15.424284461127318
Greenwich Village South,5.781256597559431,15.593822573153739
Grymes Hill/Clifton,11.666666666666666,49.0
Hamilton Heights,56.45997490589711,21.028858218318696
Hammels/Arverne,13.588039867109634,47.45514950166113
Heartland Village/Todt Hill,8.5,28.0
Highbridge,6.52760736196319,31.524539877300615
Highbridge Park,4.870967741935484,26.903225806451612
Hillcrest/Pomonok,7.265217391304348,30.73913043478261
Hollis,8.302158273381295,32.20863309352518
Homecrest,7.18141592920354,32.73451327433628
Howard Beach,8.082474226804123,39.46907216494845
Hudson Sq,7.793842490219425,16.876566309463062
Hunts Point,6.559808612440191,29.48803827751196
Inwood,6.933806146572104,29.016548463356973
Inwood Hill Park,5.294117647058823,23.08823529411765
JFK Airport,15.886275331935709,62.13443745632425
Jackson Heights,8.106946526736632,23.61569215392304
Jamaica,5.894207754906654,28.198180947821925
Jamaica Bay,9.75,31.75
Jamaica Estates,8.675675675675675,32.77927927927928
Kensington,6.140425531914894,30.07659574468085
Kew Gardens,3.9056244041944708,28.149666348903718
Kew Gardens Hills,7.561728395061729,32.092592592592595
Kingsbridge Heights,7.775147928994083,35.112426035502956
Kips Bay,9.732734787726166,15.09350450277831
LaGuardia Airport,9.516670718252707,42.301512799895285
Laurelton,12.034313725490197,43.3921568627451
Lenox Hill East,2.442047920634218,15.471662459217267
Lenox Hill West,2.691150305562002,13.637451329259173
Lincoln Square East,2.973864114429954,14.365832281587435
Lincoln Square West,4.81190633412912,14.40569919236044
Little Italy/NoLiTa,5.918724533893073,17.17579330781578
Long Island City/Hunters Point,5.003015941404567,34.355450236966824
Long Island City/Queens Plaza,3.6264472882388787,21.182815356489947
Longwood,252.13930348258705,28.691542288557216
Lower East Side,5.883253614822145,18.053328935070645
Madison,281.6167664670659,32.58682634730539
Manhattan Beach,7.776859504132231,33.074380165289256
Manhattan Valley,5.711643127798829,15.286978987254564
Manhattanville,3.537694338515694,18.957172191258433
Marble Hill,5.672413793103448,25.0
Marine Park/Floyd Bennett Field,6.2075471698113205,29.566037735849058
Marine Park/Mill Basin,7.136222910216718,31.656346749226007
Mariners Harbor,13.714285714285714,57.57142857142857
Maspeth,5.813620071684587,38.70967741935484
Meatpacking/West Village West,2.650118483412322,17.252932464454975
Melrose South,5.424710424710424,25.85907335907336
Middle Village,6.174358974358975,35.49230769230769
Midtown Center,2.798883523494358,16.392707110159435
Midtown East,4.685245873437755,15.926715351069594
Midtown North,2.499324600900532,16.335642652476462
Midtown South,2.5100268870089844,16.572732638205785
Midwood,6.165697674418604,28.531976744186046
Morningside Heights,4.858529423759227,17.72827372456262
Morrisania/Melrose,6.597733711048159,28.76487252124646
Mott Haven/Port Morris,5.474370922646785,26.02050326188257
Mount Hope,7.195035460992908,30.631205673758867
Murray Hill,3.242318284494229,16.194541572546957
Murray Hill-Queens,7.833333333333333,35.01282051282051
New Dorp/Midland Beach,8.333333333333334,19.0
Newark Airport,3.8620689655172415,80.86206896551724
North Corona,4.930817610062893,25.08176100628931
Norwood,9.595505617977528,37.09550561797753
Oakland Gardens,9.534246575342467,37.21917808219178
Oakwood,7.0,30.0
Ocean Hill,175.28902627511593,30.182380216383308
Ocean Parkway South,6.506849315068493,29.438356164383563
Old Astoria,81.94678217821782,22.242574257425744
Ozone Park,7.063492063492063,35.595238095238095
Park Slope,27.808196721311475,27.15737704918033
Parkchester,8.699140401146131,34.73638968481375
Pelham Bay,9.771084337349398,35.433734939759034
Pelham Bay Park,6.857142857142857,29.571428571428573
Pelham Parkway,7.218181818181818,30.945454545454545
Penn Station/Madison Sq West,2.898103150964101,17.216546941711314
Port Richmond,11.0,34.0
Prospect Heights,5.2730434782608695,27.499130434782607
Prospect Park,4.659574468085107,26.397163120567377
Prospect-Lefferts Gardens,6.072787427626137,29.090157154673285
Queens Village,141.58265582655827,40.520325203252035
Queensboro Hill,7.294117647058823,33.0
Queensbridge/Ravenswood,234.6191616766467,21.24431137724551
Randalls Island,6.476190476190476,44.29761904761905
Red Hook,7.8264248704663215,40.512953367875646
Rego Park,25.062277580071175,28.30782918149466
Richmond Hill,6.498489425981873,39.290030211480364
Ridgewood,5.607508532423208,27.696245733788395
Rikers Island,7.0,39.0
Riverdale/North Riverdale/Fieldston,10.323529411764707,37.52205882352941
Rockaway Park,10.232558139534884,38.25581395348837
Roosevelt Island,5.481481481481482,29.055555555555557
Rosedale,11.354285714285714,43.27428571428572
Saint Albans,199.92156862745097,37.90931372549019
Saint George/New Brighton,5.0,30.0
Saint Michaels Cemetery/Woodside,5.309523809523809,37.92857142857143
Schuylerville/Edgewater Park,8.017441860465116,32.075581395348834
Seaport,9.8409292690145,22.22802604320805
Sheepshead Bay,6.6282828282828286,29.828282828282827
SoHo,2.515701593137255,16.93558517156863
Soundview/Bruckner,6.6875,29.419642857142858
Soundview/Castle Hill,104.92543859649123,32.5
South Beach/Dongan Hills,2.2,19.7
South Jamaica,10.0,45.811217510259915
South Ozone Park,5.686196623634558,49.21151936444886
South Williamsburg,194.28155339805826,27.854368932038835
Springfield Gardens North,9.81842105263158,37.26578947368421
Springfield Gardens South,11.83046683046683,51.83538083538083
Spuyten Duyvil/Kingsbridge,9.129707112970712,34.71129707112971
Stapleton,11.2,32.0
Starrett City,8.135922330097088,33.820388349514566
Steinway,4.426746166950596,27.040885860306645
Stuy Town/Peter Cooper Village,2.6537589724216093,16.73781639591991
Stuyvesant Heights,5.5895196506550215,27.74454148471616
Sunnyside,69.71382521489971,30.206661891117477
Sunset Park East,6.592592592592593,30.874074074074073
Sunset Park West,7.630606860158311,32.87335092348285
Sutton Place/Turtle Bay North,9.523347601764295,14.573525821519832
Times Sq/Theatre District,4.212738447368888,19.0718751660497
TriBeCa/Civic Center,4.5133869908015765,18.849704336399473
Two Bridges/Seward Park,3.582164502164502,20.83082251082251
UN/Turtle Bay South,4.872401381032836,17.258355983251302
Union Sq,2.1216490299823634,15.096979717813051
University Heights/Morris Heights,8.301136363636363,33.51988636363637
Upper East Side North,2.9195184116976325,13.67740291099336
Upper East Side South,1.8281944883794496,13.124479757850928
Upper West Side North,3.538411236210622,14.494953372000454
Upper West Side South,2.281803493582904,14.464063246247802
Van Cortlandt Park,7.714285714285714,31.38095238095238
Van Cortlandt Village,8.701960784313725,34.67058823529412
Van Nest/Morris Park,421.5049019607843,30.387254901960784
Washington Heights North,52.40373280943025,26.346758349705304
Washington Heights South,21.60545193687231,25.087757054041127
West Brighton,13.0,73.0
West Chelsea/Hudson Yards,2.4197904176007508,16.73790035277966
West Concourse,40.91724137931035,28.32551724137931
West Farms/Bronx River,309.5140186915888,30.72897196261682
West Village,3.1387606500769434,15.569555480488933
Westchester Village/Unionport,6.765258215962441,28.676056338028168
Whitestone,8.126436781609195,31.080459770114942
Willets Point,7.526315789473684,42.60526315789474
Williamsbridge/Olinville,8.980716253443527,35.52617079889807
Williamsburg (North Side),4.588092345078979,24.940866747671123
Williamsburg (South Side),4.649639089394781,26.146029983342586
Windsor Terrace,6.445205479452055,32.23287671232877
Woodhaven,7.048034934497816,32.17903930131004
Woodlawn/Wakefield,10.189743589743589,38.205128205128204
Woodside,3.771799628942486,22.70624613481756
World Trade Center,7.005202312138728,24.042774566473987
Yorkville East,5.431208158668586,14.978915097290871
Yorkville West,4.605595147129914,14.041480187752429
